month	category	total_qty	total_revenue
2024-01-01	Аксессуары	50270	64985400
2024-01-01	Компьютерная техника	51181	2079552000
2024-01-01	Периферия	68547	265960500
2024-02-01	Аксессуары	48442	63340200
2024-02-01	Компьютерная техника	47528	1835769000
2024-02-01	Периферия	63066	244038000
2024-03-01	Аксессуары	50266	64978600
2024-03-01	Компьютерная техника	51183	2079795000
2024-03-01	Периферия	68544	265950000
2024-04-01	Аксессуары	49302	64092600
2024-04-01	Компьютерная техника	49302	1955646000
2024-04-01	Периферия	65736	254727000
2024-05-01	Аксессуары	50215	65463100
2024-05-01	Компьютерная техника	51585	1992162000
2024-05-01	Периферия	68018	260892000
2024-06-01	Аксессуары	49302	64092600
2024-06-01	Компьютерная техника	49302	1955646000
2024-06-01	Периферия	65736	254727000
2024-07-01	Аксессуары	52498	68609400
2024-07-01	Компьютерная техника	50214	2033166000
2024-07-01	Периферия	67106	260662000
2024-08-01	Аксессуары	50670	65323800
2024-08-01	Компьютерная техника	50671	1976644000
2024-08-01	Периферия	68477	266376000
2024-09-01	Аксессуары	49302	64092600
2024-09-01	Компьютерная техника	49302	1955646000
2024-09-01	Периферия	65736	254727000
2024-10-01	Аксессуары	51128	66833600
2024-10-01	Компьютерная техника	51127	2024587000
2024-10-01	Периферия	67563	262492500
2024-11-01	Аксессуары	49302	64092600
2024-11-01	Компьютерная техника	49302	1955646000
2024-11-01	Периферия	65736	254727000
2024-12-01	Аксессуары	49302	64092600
2024-12-01	Компьютерная техника	49302	1955646000
2024-12-01	Периферия	65736	254727000
0.084
