month	category	region	total_qty	total_revenue
2024-01-01	Аксессуары	Екатеринбург	6856	7265600
2024-01-01	Аксессуары	Казань	6854	7264200
2024-01-01	Аксессуары	Москва	5715	8983500
2024-01-01	Аксессуары	Нижний Новгород	5710	8971000
2024-01-01	Аксессуары	Новосибирск	5714	8984200
2024-01-01	Аксессуары	Пермь	6854	7266200
2024-01-01	Аксессуары	Самара	5711	8981500
2024-01-01	Аксессуары	Санкт-Петербург	6856	7269200
2024-01-01	Компьютерная техника	Екатеринбург	5825	308785000
2024-01-01	Компьютерная техника	Казань	5829	308873000
2024-01-01	Компьютерная техника	Москва	6970	211226000
2024-01-01	Компьютерная техника	Нижний Новгород	6970	210944000
2024-01-01	Компьютерная техника	Новосибирск	6972	211250000
2024-01-01	Компьютерная техника	Пермь	5826	308910000
2024-01-01	Компьютерная техника	Самара	6965	211116000
2024-01-01	Компьютерная техника	Санкт-Петербург	5824	308448000
2024-01-01	Периферия	Екатеринбург	8565	31014500
2024-01-01	Периферия	Казань	8569	31016500
2024-01-01	Периферия	Москва	8567	35467000
2024-01-01	Периферия	Нижний Новгород	8572	35485000
0.213

--- monthly_sales ---

month	category	region	total_qty	total_revenue
2024-01-01	Аксессуары	Екатеринбург	6856	7265600
2024-01-01	Аксессуары	Казань	6854	7264200
2024-01-01	Аксессуары	Москва	5715	8983500
2024-01-01	Аксессуары	Нижний Новгород	5710	8971000
2024-01-01	Аксессуары	Новосибирск	5714	8984200
2024-01-01	Аксессуары	Пермь	6854	7266200
2024-01-01	Аксессуары	Самара	5711	8981500
2024-01-01	Аксессуары	Санкт-Петербург	6856	7269200
2024-01-01	Компьютерная техника	Екатеринбург	5825	308785000
2024-01-01	Компьютерная техника	Казань	5829	308873000
2024-01-01	Компьютерная техника	Москва	6970	211226000
2024-01-01	Компьютерная техника	Нижний Новгород	6970	210944000
2024-01-01	Компьютерная техника	Новосибирск	6972	211250000
2024-01-01	Компьютерная техника	Пермь	5826	308910000
2024-01-01	Компьютерная техника	Самара	6965	211116000
2024-01-01	Компьютерная техника	Санкт-Петербург	5824	308448000
2024-01-01	Периферия	Екатеринбург	8565	31014500
2024-01-01	Периферия	Казань	8569	31016500
2024-01-01	Периферия	Москва	8567	35467000
2024-01-01	Периферия	Нижний Новгород	8572	35485000
0.014
